Index;Code;Description;Unit;HelpText;DataType;DefaultValue;MinValue;MaxValue;Required
X072;;Are you interested in the use of renewable energy?;;st1Page6;;;;;
X073;;possibility of saving fuel cost;;st2Page6;;;;;
X074;;contribution to a more ecologic supply;;st3Page6;;;;;
X075;;using solar energy helps for a better marketing of your products;;st4Page6;;;;;
X076;;other;;st5Page6;;;;;
X077;;available area;m²;;;;;;
X078;;positioning of the area;inclination of degrees;;;;;;
X079;;positioning of the area;orientation to south;;;;;;
X080;;shading problems?;;;;;;;
X081;;distance to the technical room or process;m;;;;;;
X082;;period of year the biomass is available;dd/mm-dd/mm;;;;;;
X083;;period of year the biomass is available;dd/mm-dd/mm;;;;;;
X084;;Building list;;stInfo1Page7;;;;;
X085;;Building (or part of building);;stInfo2Page7;;;;;
X086;;delete building;;buttonDeleteBuildingPage7;;;;;
X087;;add building;;buttonAddBuildingPage7;;;;;
X088;;stInfo2Page8;;stInfo2Page8;;;;;
X089;;stInfo3Page8;;stInfo3Page8;;;;;
X090;;public funding for energy saving measures;;stInfo4_1Page8;;;;;
X091;;Type (credit, subvention);;stInfo4_2Page8;;;;;
X092;;Operation and maintenance costs;;stInfo5Page8;;;;;
X093;;General maintenance;;stInfo6Page8;;;;;
X094;;Buildings;;stInfo7Page8;;;;;
X095;;Machines and equipment for processes;;stInfo8Page8;;;;;
X096;;Generation and distribution of heat and cold;;stInfo9Page8;;;;;
X097;;Total;;stInfo10Page8;;;;;
X098;;Total costs \n€/year;;stInfo11Page8;;;;;
X099;;Own personal \n€/year;;stInfo12Page8;;;;;
X100;;External personel \n€/year;;stInfo13Page8;;;;;
